Feature,Coefficient,Odds_Ratio,Abs_Coefficient
Title_Mr,-2.0461432755553397,0.12923235729167507,2.0461432755553397
HasCabin_1,1.1232006976194246,3.074679590504109,1.1232006976194246
Pclass_3,-1.080590375398562,0.33939509597133244,1.080590375398562
Title_Rare,-0.9542737077825031,0.3850917321376189,0.9542737077825031
Sex_male,-0.7843026018574364,0.4564379097643808,0.7843026018574364
Title_Mrs,0.49600680370862943,1.6421507304957934,0.49600680370862943
Age,-0.4163082975381314,0.6594769240282614,0.4163082975381314
Embarked_S,-0.3719419447989431,0.6893942642850961,0.3719419447989431
IsAlone_1,-0.28887350685361196,0.7491069563057574,0.28887350685361196
Embarked_Q,0.28861047239996,1.3345717747264143,0.28861047239996
SibSp,-0.2830823588494979,0.7534577313923999,0.2830823588494979
FamilySize,-0.26605704005152936,0.7663954110204994,0.26605704005152936
Pclass_2,-0.2081947551599786,0.8120488706029013,0.2081947551599786
Title_Miss,-0.1855203478073021,0.8306719330565334,0.1855203478073021
Fare,0.1637563392857972,1.1779272655239943,0.1637563392857972
Parch,-0.14616521031768615,0.8640149472086734,0.14616521031768615
